ID,Tweet
2017-En-21441,“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry
2017-En-31535,Whatever you decide to do make sure it makes you #happy.
2017-En-21068,"@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! #GOPATS"
2017-En-31436,Accept the challenges so that you can literally even feel the exhilaration of victory.' -- George S. Patton ??
2017-En-22195,My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs
2017-En-22190,No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu
2017-En-20221,Do you think humans have the sense for recognizing impending doom? 
2017-En-22180,"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight"
2017-En-41344,it's pretty depressing when u hit pan on ur favourite highlighter
2017-En-20759,@BossUpJaee but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .
2017-En-40158,Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college
2017-En-21744,And it's hard to dance with a devil on your back\nSo shake him off.
2017-En-31337,Tiller and breezy should do a collab album. Rapping and singing prolly be fire
2017-En-10902,S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait??
2017-En-11274,@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin
2017-En-11097,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop
2017-En-11475,@BitchestheCat Look at those teef! #growl
2017-En-10989,Star trek online has a update to download oh fuming yay
2017-En-10618,"The bitter the battle, the sweeter the victory..."
2017-En-40212,i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.
2017-En-21011,@NHLexpertpicks @usahockey USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke
2017-En-20349,#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India
2017-En-40483,Awareness of time is awareness of time lost. #awareness #time 
2017-En-30807,Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.
2017-En-21400,@zorefx you guys will see what i did in the next video but its fucking horrid
2017-En-11184,What a fucking muppet.  @jRwild1  #stalker.
2017-En-30230,@adamrodricks I like your optimism!
2017-En-11421,My cat is bloody lucky the RSPCA weren't open at 3am last night!!! #fuming ????
2017-En-21740,@FaithHill I remember it well #happy #afraid #Positive
2017-En-10966,Autocorrect changes ''em' to 'me' which I resent greatly
2017-En-10503,"I mean I'm not done watching the pilot, but it's nice to see a group of actors perform without story lines dripping relentless nihilism."
2017-En-21716,@WaterboysAS I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.
2017-En-20316,@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. 
2017-En-10936,@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle
2017-En-30541,You have to find a way to top yourself. #glee
2017-En-20393,@Aliki111 Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.
2017-En-30296,#smile every morning to a positive head start with your #clients relations
2017-En-20473,I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.
2017-En-10565,@SlaveGuinevere its more of a little prick than a sting .......... but you have to come to Tennessee to get it1
2017-En-21752,@imtarakate Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.
2017-En-11251,All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts ?? #GBBO
2017-En-40949,Living with #depression doesn't mean you must be defeated by it\nevery day's a new day and yesterday doesn't decide what today looks like :-)
2017-En-20092,"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news"
2017-En-21374,@TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra would F her up if she swung on Tamra\nKelly is a piece of ?? #needstobeadmitted #bully
2017-En-21886,"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA &amp; MQM.shame #ZH"
2017-En-21219,About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography 
2017-En-30081,@morgannbroom yes ???? &amp; cheering homecoming game!
2017-En-20533,I was so shy freshman year this guy introduced himself to me by asking if I spoke any English
2017-En-41251,Love is when all your happiness and all your sadness and all your feelings are dependent on another person.
2017-En-40646,@wabermes The @RavalliRepublic had a good one but then the reporter quit. 
2017-En-20764,@BigLepley @angela31694996 @TheIndigoArrow Want to start a biker gang together when the GTA Online Biker DLC comes out?
2017-En-11506,@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!
2017-En-41397,"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs."
2017-En-41073,Ive felt surprisingly gloomy about my bad scouts today :'D but i recognize that it's all just RNG and yeah I didnt spend that many gems
2017-En-10559,"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway"
2017-En-20648,@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.
2017-En-21927,@loismackey_ @Dory nah way that's horrible
2017-En-20218,@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !
2017-En-30952,angel delight is my everything
2017-En-10474,Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG
2017-En-20413,In dire need of a worship session to just let go of everything
2017-En-40195,Brb going to sulk in bed until Friday
2017-En-10649,I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.
2017-En-41456,This is the first time I've been sober on my birthday in 6 years. #recovery #sobriety #sober #soberissexy #sobernative
2017-En-11034,Weak people revenge. Strong people forgive. Intelligent people ignore.
2017-En-10396,I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage
2017-En-40760,"I'm so proud he understands this, he shows love, thought and compassion    and it's not done in a clouded way.."
2017-En-30218,Why have I only just started watching glee this week I am now addicted ?? #glee #GLEEK
2017-En-21649,@Bridget_Delia @originalaubs omg that's terrible
2017-En-10742,"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein"
2017-En-21926,"tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared..."
2017-En-21045,"Jorge deserves it, honestly. He's weak.  #90dayfiance"
2017-En-30985,Modern family never fails to cheer me up. Especially Phil.
2017-En-31561,Sometimes I get to sit back and be proud of myself for pleasing Him so well.
2017-En-10827,Follow me on Snapchat ?? Carlabtst15 #snapchat 
2017-En-10252,@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell ???? ;)
